         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      313    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      284    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
       16    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1362    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1778    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.038    0.038 numeric.py:1(<module>)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      155    0.000    0.000    0.010    0.000 re.py:271(_compile)
    123/5    0.000    0.000    0.662    0.132 <frozen importlib._bootstrap_external>:722(exec_module)
      148    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      265    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
     1137    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.007    0.007 core.py:21(<module>)
     3913    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
   337/12    0.000    0.000    0.660    0.055 {built-in method builtins.__import__}
       36    0.000    0.000    0.009    0.000 sre_compile.py:759(compile)
      460    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      309    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       36    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      329    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      305    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      284    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.147    0.147 __init__.py:7(<module>)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      956    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.026    0.026 __init__.py:13(<module>)
        1    0.000    0.000    0.005    0.005 core.py:21(<module>)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
